,methods,mode,evaluation,balanced_acc.mean,balanced_acc.sem,FDR.mean,FDR.sem,MCC.mean,MCC.sem,F1.mean,F1.sem,AUROC.mean,AUROC.sem,AUPRC.mean,AUPRC.sem,approach
0,DeepWalk CBOW,test,DANS,0.5938625204582652,0.007912679921055947,0.4014980331791252,0.00422234412044559,0.20013114329828174,0.01629793626541717,0.567943763392422,0.025710451315376495,0.6117604219960838,0.007148721053569196,0.5789856080799968,0.004397373843394593,DANS (test)
1,DeepWalk CBOW,test,UNS,0.7396481178396072,0.03082467214682308,0.17619459598415296,0.029030230631837625,0.499107973624379,0.05958356068500975,0.6721324142506665,0.04423943334869481,0.7909100010446773,0.037972958187243964,0.7993024312821346,0.033149222623837446,UNS (test)
2,DeepWalk CBOW,train,DANS,0.7036532170119957,0.0025093794929788977,0.31694873421981534,0.009867046789829264,0.4375310250572647,0.00996753174450954,0.7221681620720621,0.010358174854642514,0.7857011522923953,0.007852400970576282,0.7514045042589703,0.007399416890322002,DANS (train)
3,DeepWalk CBOW,train,UNS,0.8490594329334786,0.023641088918354813,0.11864325155348823,0.01702125882137692,0.7039678473662225,0.04597741893534602,0.8344407156556688,0.027202639090585647,0.8952274393528754,0.021090747521147438,0.8917486025310593,0.016946843435491764,UNS (train)
4,DeepWalk SkipGram,test,DANS,0.630810147299509,0.0094145043221463,0.3688247148075562,0.004188025721852708,0.2837636767912438,0.02083586688944709,0.6148767458838715,0.02625973364408554,0.6522071822908435,0.017393637215716365,0.6264656765130562,0.008111060485523633,DANS (test)
5,DeepWalk SkipGram,test,UNS,0.751227495908347,0.040071513742378724,0.21438899344341672,0.042561287959114555,0.50687294465896,0.08005897498998675,0.7202017856828057,0.0465657203646881,0.7577943646352603,0.04897308996999879,0.7860958440931125,0.04189202162455323,UNS (test)
6,DeepWalk SkipGram,train,DANS,0.7196564885496184,0.0028444034016942136,0.30891095798490487,0.010880446991099708,0.47836710936142735,0.010313544611728214,0.7424998101236198,0.009465719340483132,0.7806807847111806,0.009697526581683403,0.7252600388712136,0.007121854531439591,DANS (train)
7,DeepWalk SkipGram,train,UNS,0.8437431842966194,0.03080646674907196,0.15832872776071855,0.03055816117548378,0.6882428421301517,0.06148221258136337,0.8439790166357521,0.03087516971999894,0.8720018858018121,0.02920736802697311,0.8657415242528328,0.0279938470846371,UNS (train)
8,First-order LINE,test,DANS,0.6081423895253683,0.004720880730961763,0.3810402989906453,0.011626511529723481,0.22417323013768553,0.00962033083637901,0.6074393621627386,0.007887772417300518,0.6535322149035281,0.005675248445623415,0.6543387596097303,0.00823359451532365,DANS (test)
9,First-order LINE,test,UNS,0.6860474631751228,0.023559745315037114,0.287038708994137,0.02628129564452382,0.37516444342057165,0.047359107954337884,0.6623912578652782,0.025915284641078427,0.72377729219626,0.024614543874032706,0.753868795911001,0.027361010225188397,UNS (test)
10,First-order LINE,train,DANS,0.6567748091603054,0.009302562710871395,0.34595122204842976,0.015364817702872945,0.3218367084616073,0.017248540910000526,0.6756813009946782,0.0013355632806096986,0.7152551161627754,0.011132450043501406,0.6932409286868306,0.014790667181106224,DANS (train)
11,First-order LINE,train,UNS,0.7326608505997819,0.01908243612701814,0.25575559547594584,0.021371719364561937,0.46599939014999875,0.038311120911753024,0.7286693494310162,0.018615039244536166,0.801089750698368,0.01990214026068461,0.811043943944133,0.021362942103439506,UNS (train)
12,HOPE,test,DANS,0.5685761047463175,0.013645279441633199,0.4381300764030732,0.012982327190767027,0.137944789361922,0.027393143869186315,0.5918464107126298,0.014136787068227638,0.6092940458747298,0.01415420748879081,0.6203414380024214,0.008276378688368795,DANS (test)
13,HOPE,test,UNS,0.5795826513911619,0.05609974840696254,0.3223338964898768,0.06647830110269097,0.15051938198434747,0.12154988120708173,0.628770974292673,0.0380535305082637,0.6912750354252775,0.049162899724266095,0.7914658389507372,0.032425213918822735,UNS (test)
